GRPIP,Name
26,Bay Ridge & Dyker Heights
32,Bushwick
10,"Chelsea, Clinton & Midtown Business District"
88,Central Harlem
15,"Washington Heights, Inwood & Marble Hill"
12,"Ridgewood, Glendale & Middle Village"
44,Bedford-Stuyvesant
43,"Chelsea, Clinton & Midtown Business District"
24,"Morris Heights, Fordham South & Mount Hope"
14,Sunnyside & Woodside
16,"Port Richmond, Stapleton & Mariner's Harbor"
24,"Jamaica, Hollis & St. Albans"
19,Bushwick
80,"Castle Hill, Clason Point & Parkchester"
25,"Chelsea, Clinton & Midtown Business District"
34,"Morris Heights, Fordham South & Mount Hope"
35,East Harlem
15,Sunnyside & Woodside
64,Howard Beach & Ozone Park
11,"Queens Village, Cambria Heights & Rosedale"
25,"Borough Park, Kensington & Ocean Parkway"
64,Richmond Hill & Woodhaven
14,Sunnyside & Woodside
14,"Ridgewood, Glendale & Middle Village"
28,"Hamilton Hts, Manhattanville & West Harlem"
2,"Park Slope, Carroll Gardens & Red Hook"
39,Upper East Side
85,"Morris Heights, Fordham South & Mount Hope"
14,"Battery Park City, Greenwich Village & Soho"
83,"Flushing, Murray Hill & Whitestone"
4,Brownsville & Ocean Hill
15,"Chelsea, Clinton & Midtown Business District"
42,Brooklyn Heights & Fort Greene
27,"Battery Park City, Greenwich Village & Soho"
14,Forest Hills & Rego Park
26,Sunset Park & Windsor Terrace
16,"Concourse, Highbridge & Mount Eden "
71,Bushwick
40,East Harlem
8,"Jamaica, Hollis & St. Albans"
75,"Port Richmond, Stapleton & Mariner's Harbor"
28,"Briarwood, Fresh Meadows & Hillcrest"
23,Crown Heights North & Prospect Heights
30,Sunset Park & Windsor Terrace
32,"East Flatbush, Farragut & Rugby"
53,"Briarwood, Fresh Meadows & Hillcrest"
13,Upper East Side
37,Jackson Heights & North Corona
58,Flatbush & Midwood
11,"Port Richmond, Stapleton & Mariner's Harbor"
26,Upper East Side
66,"Concourse, Highbridge & Mount Eden "
33,"Crown Heights So., Prospect Lefferts & Wingate"
10,Greenpoint & Williamsburg
36,Canarsie & Flatlands
85,Greenpoint & Williamsburg
97,"Belmont, Crotona Park East & East Tremont"
25,Bensonhurst & Bath Beach
31,Chinatown & Lower East Side
35,"Hamilton Hts, Manhattanville & West Harlem"
37,Upper West Side & West Side
44,"Queens Village, Cambria Heights & Rosedale"
19,"Belmont, Crotona Park East & East Tremont"
40,"Ridgewood, Glendale & Middle Village"
32,"Hunts Point, Longwood & Melrose"
41,East New York & Starrett City
35,"Pelham Parkway, Morris Park & Laconia "
42,"Morris Heights, Fordham South & Mount Hope"
25,"Hunts Point, Longwood & Melrose"
83,Elmhurst & South Corona
16,Brooklyn Heights & Fort Greene
32,"Borough Park, Kensington & Ocean Parkway"
35,"Bedford Park, Fordham North & Norwood "
26,Central Harlem
29,Forest Hills & Rego Park
21,Sunset Park & Windsor Terrace
43,"Jamaica, Hollis & St. Albans"
33,"Chelsea, Clinton & Midtown Business District"
27,"Hamilton Hts, Manhattanville & West Harlem"
29,"Castle Hill, Clason Point & Parkchester"
23,"Borough Park, Kensington & Ocean Parkway"
33,"Hunts Point, Longwood & Melrose"
15,"Riverdale, Fieldston & Kingsbridge"
38,Crown Heights North & Prospect Heights
20,"Hunts Point, Longwood & Melrose"
30,"Hunts Point, Longwood & Melrose"
12,Crown Heights North & Prospect Heights
24,"Park Slope, Carroll Gardens & Red Hook"
33,Central Harlem
24,"Pelham Parkway, Morris Park & Laconia "
18,Astoria & Long Island City
27,Brooklyn Heights & Fort Greene
21,"Bayside, Douglaston & Little Neck"
64,Astoria & Long Island City
17,Upper East Side
70,"Queens Village, Cambria Heights & Rosedale"
16,Brighton Beach & Coney Island
37,Bay Ridge & Dyker Heights
71,Greenpoint & Williamsburg
3,"Battery Park City, Greenwich Village & Soho"
14,"Bedford Park, Fordham North & Norwood "
63,Brownsville & Ocean Hill
31,Bedford-Stuyvesant
43,Bushwick
14,"Hamilton Hts, Manhattanville & West Harlem"
14,"Ridgewood, Glendale & Middle Village"
10,"Co-op City, Pelham Bay & Schuylerville "
24,Sunnyside & Woodside
19,"Port Richmond, Stapleton & Mariner's Harbor"
73,"Far Rockaway, Breezy Point & Broad Channel"
84,"Wakefield, Williamsbridge & Woodlawn"
55,"Riverdale, Fieldston & Kingsbridge"
38,Brooklyn Heights & Fort Greene
72,Flatbush & Midwood
21,Bay Ridge & Dyker Heights
15,Crown Heights North & Prospect Heights
31,Bedford-Stuyvesant
11,"Chelsea, Clinton & Midtown Business District"
25,Brooklyn Heights & Fort Greene
95,Crown Heights North & Prospect Heights
45,Upper East Side
20,Crown Heights North & Prospect Heights
18,"Castle Hill, Clason Point & Parkchester"
37,"Tottenville, Great Kills & Annadale"
35,Brooklyn Heights & Fort Greene
90,"East Flatbush, Farragut & Rugby"
33,"Washington Heights, Inwood & Marble Hill"
36,Greenpoint & Williamsburg
30,"Co-op City, Pelham Bay & Schuylerville "
